,job_type,company_name,company_rating,location,title,parsed_salary
0,Full-time,Healthmap Solutions,3.4,Remote,Accountant,59250.0
1,Full-time,SPRCHRGR,4.3,Remote,Accountant,70720.0
2,Full-time,eXp Realty,4.3,Remote,Accountant,102780.0
3,Full-time,Leon Medical Centers,4.1,Miami,Accountant,71671.0
4,Full-time,Stewart Systems Baking LLC,2.9,Plano,Accountant,126880.0
5,Full-time,Popular Bank,4.1,San Juan,Accountant,71671.0
6,Full-time,US Immigration and Customs Enforcement,3.4,Remote,Accountant,118922.0
7,Full-time,GoodLeap,3.3,Remote,Accountant,150000.0
8,Full-time,University of North Carolina at Chapel Hill,4.1,Chapel Hill,Accountant,102780.0
9,Full-time,ZealousWeb Technologies,4.5,Remote,Accountant,282000.0
10,Full-time,The Children's Trust,4.1,Miami,Accountant,30783.5
12,Full-time,Sheetz,3.7,Altoona,Accountant,75000.0
13,Full-time,Mechanism Ventures,3.0,United States,Accountant,131500.0
14,Part-time,Collin County Community College,4.2,McKinney,Accountant,39520.0
15,Full-time,Tanana Chiefs Conference,3.9,Fairbanks,Accountant,102780.0
16,Full-time,Prairie Meadows,3.4,Altoona,Accountant,102780.0
17,Full-time,"City of Los Angeles, CA",4.3,Los Angeles,Accountant,87602.0
18,Full-time,Amerisafe,3.7,DeRidder,Accountant,53175.0
19,Full-time,Ameris Bank,3.3,Atlanta,Accountant,53175.0
20,Full-time,American University,4.0,Washington,Accountant,74250.0
21,Full-time,Fugees Family,3.7,Remote,Accountant,71671.0
22,Full-time,Global Payments,3.4,Alpharetta,Accountant,59250.0
23,Full-time,Tesla,3.3,Fremont,Accountant,152000.0
24,Full-time,UP Health System - Portage,3.0,Hancock,Accountant,71671.0
25,Full-time,"City of Miami Beach, FL",4.2,Miami Beach,Accountant,102780.0
26,Full-time,Paychex,3.5,Rochester,Accountant,67860.0
27,Full-time,Harley-Davidson,3.6,Reno,Accountant,77300.0
28,Full-time,Arlington Independent School District,3.8,Arlington,Accountant,53175.0
29,Full-time,University of Miami,4.0,Coral Gables,Accountant,107398.0
30,Full-time,Element Solutions Inc,2.7,Waterbury,Accountant,55120.0
31,Full-time,Procoplast,3.1,Chicago,Accountant,63000.0
32,Full-time,The County of Santa Clara,3.9,Santa Clara,Accountant,53175.0
33,Full-time,Omaha Public Schools,3.6,Omaha,Accountant,37163.0
34,Full-time,The Childrens Trust,4.0,Miami,Accountant,30783.5
35,Full-time,GHJ,3.0,Duluth,Accountant,102500.0
36,Full-time,TradeWinds,3.5,Merrillville,Accountant,71671.0
37,Full-time,Valor Paytech LLC,3.6,Jericho,Accountant,65000.0
38,Full-time,IA Interior Architects,3.3,Remote,Accountant,82500.0
39,Full-time,The Minto Group,3.6,Coconut Creek,Accountant,59250.0
40,Full-time,University of Vermont,4.2,Burlington,Accountant,102780.0
41,Full-time,Public Service Commission,4.1,Washington,Accountant,140166.5
42,Full-time,Columbus McKinnon Corporation,3.0,Wadesboro,Accountant,66095.5
43,Full-time,Saint Luke's Health System,3.5,Kansas City,Accountant,71671.0
44,Full-time,Honda Center,4.1,Anaheim,Accountant,77500.0
45,Full-time,S&S Employment Partners,3.7,Johnston,Accountant,90000.0
46,Full-time,ARCOS LLC,3.0,Remote,Accountant,96844.5
47,Full-time,Skyline Steel LLC,3.5,Iuka,Accountant,102780.0
48,Full-time,"Marriott International, Inc",4.0,Aspen,Accountant,128960.0
49,Full-time,Solutions by Text,3.0,Remote,Accountant,96844.5
50,Full-time,Pilgrim's,3.4,Greeley,Accountant,72500.0
51,Full-time,Honda,3.8,Burlington,Accountant,68650.0
52,Full-time,American Airlines,3.9,Dallas,Accountant,102780.0
53,Full-time,StataCorp,3.8,College Station,Accountant,59250.0
54,Full-time,"University of Maryland, Baltimore",3.8,Baltimore,Accountant,53175.0
55,Full-time,Independent Living Systems,2.8,Miami,Accountant,53175.0
56,Full-time,California Resources Corporation,3.4,United States,Accountant,84000.0
57,Full-time,Risk Strategies,3.1,Remote,Accountant,77500.0
58,Full-time,"U.S. Xpress Enterprises, Inc.",3.0,Chattanooga,Accountant,53250.0
59,Full-time,Tesla,3.3,Austin,Accountant,107398.0
61,Full-time,Xendoo Inc.,4.3,Fort Lauderdale,Accountant,56000.0
62,Full-time,Barnes & Noble,3.8,Westbury,Accountant,67500.0
